認定番号,業者名,所在地,電話番号,ウェブサイトURL,評価,レビュー数
第２２３号,Ｒａ’ｓ運転代行社,長浜市列見町,090-6879-2778,http://ras-daikou.com/,,
第２２４号,長浜運転代行,長浜市小野寺町,090-6666-6882,https://nagahama-daikou.com/,2,2
第２２６号,野洲代行,野洲市栄,080-8513-3105,,5,4
第２２７号,ヤング代行,長浜市曽根町,,https://yanngudaikou.com/,,
第２２８号,リーゼント代行,栗東市大橋,090-3612-0372,https://zero808.co.jp/zero,4.8,22
第２２９号,運転代行占華,東近江市八日市東本町,080-6087-2023,https://www.instagram.com/senka.2023?igsh=cmV2bHhxcm1peW9s,5,1
第２３０号,Ｔｗｉｎ運転代行,大津市衣川,070-1831-9445,https://asobi-group.co.jp/driver-service/,4.6,8
第２３１号,アールズ代行,栗東市小柿,,,,
第２３２号,ＯＰ代行,大津市あかね町,070-1831-9445,https://asobi-group.co.jp/driver-service/,4.6,8
第２３３号,運転代行みずどり,栗東市御園,090-3612-0372,https://zero808.co.jp/zero,4.8,22
第２３４号,運転代行Go’ｓ代行,大津市瀬田,050-5482-3277,http://www.go-daiko.com/,3.3,7
第２３５号,ワン・ツー代行,栗東市荒張,,,,
第２３６号,マルトミ代行,長浜市大辰巳町,,,,
第２３７号,てち代行,東近江市八日市清水,080-6087-2023,https://www.instagram.com/senka.2023?igsh=cmV2bHhxcm1peW9s,5,1
第２３８号,KAKERU代行,湖南市石部中央,080-4917-2982,https://kakerudaikou.wixsite.com/kakerudaikou,5,4
第２３９号,ユーキ代行,近江八幡市丸の内町,0748-36-2602,https://www.yu-kidaiko.com/,3.8,4
第２４０号,運転代行Ｋ３,彦根市西今町,080-7819-7663,,5,1
第２４１号,めるも運転代行,甲賀市水口町山,0120-653-625,,3,3
第２４２号,マッスル代行,東近江市東沖野,0748-24-0097,http://biwakodaiko.main.jp/,3,4
第２４３号,ルパン代行,彦根市河原,,,4,2
第２４４号,運転代行ＧＯ（ジオ）,東近江市五個荘石塚町,050-5482-3277,http://www.go-daiko.com/,3.3,7
第２４５号,心運転代行,湖南市水戸町,0120-678-178,,5,2
第２４６号,ＤＫ代行,大津市北大路,050-5482-3277,http://www.go-daiko.com/,3.3,7
第２４７号,アイム代行,長浜市法楽寺町,090-6666-6882,https://nagahama-daikou.com/,2,2
第２４８号,レクレス運転代行,野洲市木部,080-8513-3105,,5,4
第２４９号,ＡＳＯＢＩ運転代行,大津市大萱,070-1831-9445,https://asobi-group.co.jp/driver-service/,4.6,8
第２５０号,ヤスクル運転代行,長浜市南高田町,070-5697-3086,https://www.instagram.com/ichigo.untendaikou,5,4
第２５１号,いちご運転代行,長浜市高月町,070-5697-3086,https://www.instagram.com/ichigo.untendaikou,5,4
