認定番号,業者名,所在地
349,みどり代行,塩尻市大字大門７１番地４
31,中信代行,松本市野溝東１丁目５番４４号
78,しなの代行,松本市女鳥羽２丁目４番２９号
199,あさひ代行,松本市村井町西１丁目８番５０号
239,信州運転代行,松本市巾上２番１号
308,エスコート企画,松本市大字島立６１８番地６
310,千円信代行,松本市井川城２丁目２番５号
315,代行本舗,松本市大字島立５６８番地１
331,グッドセーフティー代行,松本市
337,ＡＢＣ代行,松本市大字島内４２５３番地１３
358,エース代行,松本市深志３丁目１番２５号
361,サンキュー代行,松本市大字松原５１番地１０
371,アイランドドライブ代行,松本市大字島内２１９２番地２
383,代行青山,松本市浅間温泉３丁目１７番８号
404,みひろ運転代行,松本市
405,常真・つかさ代行,松本市
411,りんご代行,松本市城西１丁目７番１８号
413,おっけー代行,松本市大字島立９９１番地４
419,ウルス代行,松本市村井町南１丁目１番６号
423,あい代行,松本市大手１丁目２番１５号
424,ＳＵＮ代行,松本市村井町南１丁目１０番１６号
437,代行天膳,松本市松本市野溝西２丁目１３番１０号
447,Ｄ’Ｕ代行,松本市井川城２丁目１４番１３号
454,R＆S運転代行,松本市寿北１－１６－３４
455,ＦＫＧｏＧｏ代行,松本市
483,トッピッピース,松本市
498,１００えん代行本店,松本市
507,運転代行シトリン,松本市寿北７丁目１番15号
512,リーフ運転代行,松本市北深志２丁目４番１３号
9,あづみ野代行,安曇野市穂高柏原３８４６番地４
393,ＱＵＩＣＫ代行,安曇野市豊科４６８１番地７
417,クローバー運転代行,東筑摩郡筑北村７６４番地４
513,バイタル,安曇野市豊科５９４６番地２
42,大町代行,大町市大町２１４７番地
59,白馬安全代行,北安曇郡白馬村大字北城２４４３番地１
272,あずさ代行,北安曇郡池田町大字池田２９７９番地３１
346,カモシカ代行,大町市常盤３７４２番地６
450,Ｆａｓｔ代行,大町市大町３２８９番地６
452,あおい代行,大町市常盤５４４４番地
453,松川代行,北安曇郡松川村５７２１番地２０８９
